dept_acronym,shortcode,project_name,description,total_budget,estimated_completion_date,source,as_of_date,original_document_order
rcmp,,Digital Policing Strategy Capability - Digital Collaboration Information Management (DCIM),This project phase will deploy a more effective and accurate internal record keeping and information retrieval system that the RCMP needs to manage administrative information as a strategic asset throughout its lifecycle. This requires both the increased adoption of Electronic Document and Records Management (EDRM) Systems and the careful design of business applications and records management tools in ways that seamlessly integrate business processes with information management requirements.,12000000,2025-03-31,8530-441-13-505,"April 25, 2022",398
rcmp,cms-e,E Division Content Management System Upgrade,RCMP E Division Content Management System : Uoarade system software.,3900000,,8555-421-2460,"May 1, 2019",418
rcmp,eticketing-e,E Division Road Safety Initiative eTicketing,RCMP E Division Road Safetv Initiative eTicketinq : Uoarade and modernize law enforcement service delivery.,1300000,,8555-421-2460,"May 1, 2019",419
rcmp,,Electronic Major Case Management (eMCM) - Phase 2,"This project will create an eMCM environment that provides the required capabilities, flexibility and scalability to manage major case investigations at various levels of complexity while complying with the Information Management (IM) policies, standards and practices. The project will align with other initiatives that will establish IM processes, workflows, national standardized business rules and data management consistency.",27700000,2024-03-28,8530-441-13-505,"April 25, 2022",399
rcmp,emcm,Electronic Major Case Management Renewal,"The Electronic Major Case Management (EMCM) Renewal will
 renew the system used to capture, store, organize and retrieve data related to major cases.",17904000,2019-03-31,8555-421-266,"June 9, 2016",340
rcmp,emcm,Electronic Major Case Management Renewal,Electronic Major Case Management Next Generation Project : Uoarade and modernize system and software.,48000000,2021-03-31,8555-421-2460,"May 1, 2019",392
rcmp,emp,Email Modernization Project,Email Modernization Project: Upgrade internal communication systems.,11100000,2020-03-31,8555-421-2460,"May 1, 2019",393
rcmp,eti,Email Transformation Initiative,"Email Transformation Initiative (ETI): The objective of the Email
 Transformation Initiative project is to implement the SSC email solution.",7706000,2018-03-31,8555-421-266,"June 9, 2016",323
rcmp,,Enhancing Integrity of Canada's Borders (Radio),"This Radio project will enhance border domain situational awareness at all identified target locations through the deployment of proven sensor technologies including all the related infrastructure components. In light of increases seen in irregular migrant crossings since 2017, incremental funding provided the capacity to manage irregular migration at the three identified high-volume irregular border-crossing points in British Columbia (E Division), Manitoba (D Division) and Quebec (C Division).",6000000,2024-03-31,8530-441-13-505,"April 25, 2022",400
rcmp,,Enhancing Integrity of Canada's Borders (Technical Operations),"This Technical Operations project will enhance border domain situational awareness at all identified target locations through the deployment of proven sensor technologies including all the related infrastructure components. In light of increases seen in irregular migrant crossings since 2017, incremental funding provided the capacity to manage irregular migration at the three identified high-volume irregular border-crossing points in British Columbia (E Division), Manitoba (D Division) and Quebec (C Division).",1100000,2022-03-31,8530-441-13-505,"April 25, 2022",401
rcmp,cms,Enterprise Case Management Solution,Case Management : Implement an enterprise case manaaement solution.,1000000,2019-03-31,8555-421-2460,"May 1, 2019",384
rcmp,edw,Enterprise Data Warehouse,"The Enterprise Data Warehouse (EDW) project will establish and deliver a centralized RCMP Enterprise Data Warehouse that provides
 access to data and information to enable improved decision-making, analysis, intelligence, and reporting.",9291000,2018-03-31,8555-421-266,"June 9, 2016",328
rcmp,edw,Enterprise Data Warehouse,Enterprise Data Warehouse : Implement an enterprise solution to enable improved information manaqement and decision making.,1500000,2020-03-17,8555-421-2460,"May 1, 2019",394
rcmp,,Enterprise Geospatial Information System (EGIS) Phase3,This project will deploy an enterprise solution that will provide collaborative and reusable geospatial information services.,4700000,2023-03-07,8530-441-13-505,"April 25, 2022",402
rcmp,egis-2,Enterprise Geospatial Information System Phase 2,Enterprise Geospatial Information Svstem Phase II: LJpqrade and modernize law enforcement service deliverv.,2600000,,8555-421-2460,"May 1, 2019",395
rcmp,ssepp,Enterprise SSEPP Reporting and Analytics,SSEPP Reportinq and Analystics : Implement an enterprise solution to enable improved decision makinq.,1640000,2020-12-18,8555-421-2460,"May 1, 2019",425
rcmp,expungement,Expungement of Historically Unjust Convictions Support,Expungement: Support Government of Canada Legislation Bill C-66 - ExpunQement of Historically unjust Convictions Act,1400000,2019-05-05,8555-421-2460,"May 1, 2019",397
rcmp,radio-f,F Division Radio Network Upgrade,RCMP F Division Radio Network Uoarade: Uoarade emerqencv communication systems.,18600000,,8555-421-2460,"May 1, 2019",420
rcmp,biometrics-sharing,Fingerprint Biometrics Sharing Component,"Thelnrormation Sharing (15) lmm1grat1on proiect was 1mt1ated by
 Immigration Refugees and Citizenship Canada {IRCC) to meet their current commitments under the Canada-US Perimeter Security and Economic Competitiveness Action Plan that outlines joint priorities to strengthen shared security and improve the legitimate flow of people, goods and services across borders. The RCMP will provide the IT components for the ability to share fingerprint biometrics records
 - -• - """"' th<> I lnit<>ri C:::+;,+,,..,",11361000,2017-03-31,8555-421-266,"June 9, 2016",329
rcmp,frt-db,Firearms Reference Table Database Upgrade,Firearms Reference Table : Upqrade database.,4300000,2020-11-09,8555-421-2460,"May 1, 2019",398
rcmp,gcdocs,GCdocs,"GC Docs is an electronic document and record management system. The project scope includes the creation of an Information Architecture
 {IA), .configuration, prototype development, IM awareness, training, and national rollout of the solution.",15082000,2018-03-31,8555-421-266,"June 9, 2016",325
rcmp,gcdocs,GCdocs,GCDOCS: Implement GCDOCS within RCMP.,32000000,2019-10-21,8555-421-2460,"May 1, 2019",399
rcmp,gcnet-wan,GCNet WAN Services Migration,GCNet WAN Services Migration : Migrate RCMP wide area network (WAN) to the GCNet WAN.,14300000,2020-12-01,8555-421-2460,"May 1, 2019",400
rcmp,,Health IM - Phase 1 and 2 - F Division,"This Saskatchewan Health Authority project will adopt a product called HealthIM which is being used by municipal police forces in Saskatchewan.   The Royal Canadian Mounted Police (RCMP) “F” Division will participate in an 18 month pilot project, to evaluate its effectiveness on reducing officer wait times in hospitals.",1600000,,8530-441-13-505,"April 25, 2022",403
rcmp,,HR & Pay System Modernization (HRMIS),This project will examine and evaluate options for the RCMP Member Pay System that is reaching end-of-life and implement the replacement of both the HR and Pay system end to end.,60000000,2024-03-29,8530-441-13-505,"April 25, 2022",404
rcmp,imp,Identity Management Program,Identify Manaaernent Program : Implement an enterprise solution to enable imProved law enforcement decision makinq and service deliverv.,2000000,,8555-421-2460,"May 1, 2019",401
rcmp,,In Car Video & Detachment Wi-Fi Roll-out - K Division,"This Wi-Fi project will enable the efficient use of In Car Video in K Division Headquarters and detachments. Wi-Fi is is the primary function for In Car Video, however increasing need is expected as new technology is introduced.",1800000,2024-03-31,8530-441-13-505,"April 25, 2022",405
rcmp,,IntelliBook Division - Wide Rollout,This project will convert existing legacy system: 3M Cogent and MorphoTrak LSS systems to utilize the provincial Intellibook system.,1400000,2024-01-03,8530-441-13-505,"April 25, 2022",406
rcmp,ipe,Internet Presence Environment Upgrade,"The Internet Presence Environment (IPE) upgrade project is the design, implementation and maintenance of a new secure, robust, highly available and scalable environment for all RCMP internet
 accessible web content and web annlications.",2250000,2018-03-31,8555-421-266,"June 9, 2016",337
rcmp,interpol-set,Interpol Secure Email Transformation,Interpol Secure Email Transformation : Upqrade and modernize information manaaement and information technology securitv svstems.,5400000,,8555-421-2460,"May 1, 2019",402
rcmp,itspm,IT Security Program Modernization,IT Securitv Proqram Modernization : Uoarade and modernize information manaaement and information technoloav securitv svstems.,17000000,,8555-421-2460,"May 1, 2019",403
rcmp,radio-j,J Division Radio System Renewal and Modernization,RCMP J Division Radio System Renewal and Modernization : Uoarade emergency communication systems.,35300000,2020-09-22,8555-421-2460,"May 1, 2019",421
rcmp,radio-k,K Division Radio Renewal and Modernization,RCMP K Division Radio Renewal and Modernization : Uoarade emergency communication systems.,1000000,2019-03-26,8555-421-2460,"May 1, 2019",422
rcmp,lms,Learning Management System Modernization,learnina Manaaement Svstem Modernization : Uoarade svstem software.,1000000,2020-03-31,8555-421-2460,"May 1, 2019",404
rcmp,pay-system-mps,Member Pay System Phoenix Migration,"The Member Pay system replacement project·is to replace the
 Member Pay System with the new Phoenix system that is used for Public Servants oav.",2079000,2018-03-31,8555-421-266,"June 9, 2016",345
rcmp,mcpur,Missing Children/Persons and Unidentified Remains Database,"Missing Children/Persons and Unidentified Remains (MCPUR)
 Database is a national system that will receive data from CPIC, provide reporting and analytical tools, and provide an extract that will
 be used to post missing persons and unidentified remains information to a nublic website. .",2321000,2017-03-31,8555-421-266,"June 9, 2016",321
rcmp,mddm,Mobile Device Deployment & Management,Mobile Device Deployment & Management : Implement an enterprise solution to enable improved law enforcement decision making and service delivery.,2450000,,8555-421-2460,"May 1, 2019",405
rcmp,mdsi,Mobile Device Strategy Implementation Initiative,"The Mobile Device Strategy Implementation initiative will put in place the vision, standards, tools, security, and contracts required to
 deliver mobile applications to hand held and electronic technology devices.",5000000,2020-03-31,8555-421-266,"June 9, 2016",336
rcmp,mygchr,MyGCHR,Migration to GC standard PeopleSoft 9.1 (My GC HR): The TBS HR Services Modernization Initiative consists of four initiatives including the build of th·e GC Human Resources Management System (GC HRMS) standard in PeopleSoft 9.1 (My GC. HR). An independent study is being conducted to determine the feasibility of the RCMP moving to the Mv GCHR common instance.,10000000,2021-03-31,8555-421-266,"June 9, 2016",344
rcmp,nc3,National Cyber-Crime Coordination (NC3) Establishment,National Cyber-Crime Coordination (NC3) : Support establishment of new NC3 Unit within the RCMP.,14400000,2023-03-31,8555-421-2460,"May 1, 2019",406
rcmp,,National Cybercrime Solution (NCS) - Phase 2,"This project will support a centralized, national, cybercrime-specific database that will include intake, case management, analytics, a Police and Partner Portal (P3), and a Public Reporting Web Site. NCS will enable the NC3 to analyze cybercrime threats, trends, to aggregate and respond to reported cybercrimes and exchange information with law enforcement. Phase 2 will focus on procuring, developing, and integrating all systems, to allow the NC3 to fully operate by April 2024.",45200000,2024-04-25,8530-441-13-505,"April 25, 2022",407
rcmp,nsorm,National Sex Offender Registry Modernization Project,"The National Sex Offender Registry (NSOR) Modernization project
 ensures compliance with the ""Sex Offender Information Registration Act (SOIRA)"" and the implications of Bill C-26 - ""Tougher Penalties for Child Predators Act"". The modernization will implement new
 requirements imposed by the legislation and improve NSOR ooerations.",2490000,2017-03-31,8555-421-266,"June 9, 2016",338
rcmp,nsorm,National Sex Offender Registry Modernization Project,National Sex Offender Registrv Modernization : Support Government of Canada Leqislation to enact the Hiqh Risk Child Sex Offender Database Act.,7300000,2019-09-23,8555-421-2460,"May 1, 2019",407
rcmp,nsc,Netmotion Secure Connectivity,Netmotion Secure Connectivitv: Uoarade and modernize information manaoement and technoloqy securitv systems.,1000000,,8555-421-2460,"May 1, 2019",408
rcmp,network-bandwidth,Network Bandwidth Modernization,Network Bandwidth Modernization: Uoarade and modernize RCMP wired and wireless network bandwidth.,2000000,,8555-421-2460,"May 1, 2019",409
rcmp,,Next Generation (NG) 9-1-1 Centre of Expertise,"This project will allow the public to utilize 9-1-1 services using any real-time communication channel, be it voice, text, or video, from any wired, wireless, or IP-based device.",1800000,2025-05-02,8530-441-13-505,"April 25, 2022",408
rcmp,next-gen-911,Next Generation 9-1-1,Next Generation 9-1-1: Upqrade and modernize emerQency communication systems.,1400000,2020-03-31,8555-421-2460,"May 1, 2019",411
rcmp,,Next Generation Transformation to S4,This project will transform Corporate Management and Comptrollership business by adopting a Government of Canada standard.,47000000,2024-03-31,8530-441-13-505,"April 25, 2022",409
rcmp,oimp,Operational Information Modernization Project,"The Operational Information modernization.project (OI) will serve as a basis for the delivery of a solution for 01 across the organization and will enable the growth of RCMP 01 maturity in order to support decision making process, at all levels.",2090000,2019-03-31,8555-421-266,"June 9, 2016",324
rcmp,pay-system-pse,Phoenix Pay System,"The Phoenix Integration for PSEs project is focused on implementing the automated solution and related business processes provided by the Department of Public Works and Government Services (PWGSC) that integrates the RCMP HRMIS solution with the PWGSC Phoenix solution for administrating pay for Public Service Employees. The project is currently underway, and the rebaselined TEC is $1.5M and project completion is anticipated in 2015-16.",1285000,2017-03-31,8555-421-266,"June 9, 2016",343
rcmp,pdap,Police Data Analytics Project,Police Data Analytics Project: Proof-of-concept pilot project to manage large volumes of policing digital data and keep pace with advancinq technoloqy_,3200000,2019-09-30,8555-421-2460,"May 1, 2019",412
rcmp,pipm,Police Information Portal Modernization,Police Information Portal Modernization : Uoaradina and modernizing system.,19200000,,8555-421-2460,"May 1, 2019",413
rcmp,pat-2,Prisoner Processing and Case Management Police Access Tool,"The Prisoner Processing and Case Management Police Access
 Tool (PAT) Phase II project will update and upgrade the existing system and enable new functionality, including Police Partner Agencies access and prisoner booking.",3033000,2017-03-31,8555-421-266,"June 9, 2016",347
rcmp,,Provincial Digital Evidence Management Solution (pDEMS) Pilot,This pilot project will implement supporting software technology to store and ensure ready access to video evidence.,3000000,2024-03-31,8530-441-13-505,"April 25, 2022",410
rcmp,depot-ds,RCMP Depot Driving Simulator Renewal,RCMP Depot Driving Simulator Renewal : Uoarade cadet training software.,2100000,,8555-421-2460,"May 1, 2019",416
rcmp,depot-lms,RCMP Depot E-Learning System,RCMP Depot E-Learning System : Upqrade cadet training software.,1820000,,8555-421-2460,"May 1, 2019",417
rcmp,nrtc,RCMP National Radio Tower Compliance Upgrade,RCMP National Radio Tower Compliance : Uoarade emergency communication systems.,18600000,2019-05-21,8555-421-2460,"May 1, 2019",423
rcmp,,RCMP Public Website Remediation,This project will migrate the website to the cloud environment.,1600000,,8530-441-13-505,"April 25, 2022",411
rcmp,,Road Safety Initiative eTicketing (RSI),This project will implement the divisional roll-out of the Provincial e-Ticketing solution.,2900000,2025-03-31,8530-441-13-505,"April 25, 2022",412
rcmp,sap-team7,SAP Software TEAM Enhancement Pack 7 Upgrade,"The TEAM Enhancement Pack 7 Upgrade will update the SAP
 software to the current level used within the Government of Canada.",2113000,2020-03-31,8555-421-266,"June 9, 2016",341
rcmp,sap-ssep,Shift Scheduling and Exception Pay SAP Portal Application,"The Shift cheauung ana t:.xcept1on Pay (SSEP) w111 a11ow shin•
 scheduling and exception pay to be done in a separate Web based SAP portal application (HRMIS interfaces to provide HR data to IT!=AM) I-IRMIS comoonent",14052000,2017-03-31,8555-421-266,"June 9, 2016",342
rcmp,,Status And Messaging Module (SAMM) Mobile WS Update,"This project will update the mobile wireless component of the Computerized Integrated Information and Dispatch System (CIIDS) that is used in patrol units by frontline officers to provide status updates, GPS location and mapping, receive dispatches, and vehicle-tovehicle texting via mobile work station (MWS).",1500000,2024-03-31,8530-441-13-505,"April 25, 2022",413
rcmp,spider,Strategic Policing Intelligence Driven Enterprise Resource Analytics (SPIDER Analytics),"The Strategic Policing Intelligence Driven Enterprise Resource
 Analytics (SPIDER Analytics) project will see the acquisition of a unified automated enterprise solution that will result in dramatically improved efficiencies, proactive identification of criminal networks and increased suooort to investjgations for the RCMP.",13074000,2019-03-31,8555-421-266,"June 9, 2016",339
rcmp,sccm,System Center Configuration Manager for Windows 10,System Center Confhwration Manager Windows 10: Uoarade workstation support software. . .,4800000,2019-06-18,8555-421-2460,"May 1, 2019",428
rcmp,,V Division Radio Modernization,This project will upgrade the radio system in V Division to align with the current RCMP standards.,6700000,2022-06-30,8530-441-13-505,"April 25, 2022",414
rcmp,radio-v,V Divison Radio System Renewal and Modernization,RCMP V Divison Radio System Renewal and Modernization : LJpqrade emeraency communication systems.,2000000,2019-11-27,8555-421-2460,"May 1, 2019",424
rcmp,viclas,Violent Crime Linkage Analysis System,"Violent Crimes Linkages Analysis System (VICLAS) Re-Write
 using standard RCMP development tools and common infrastructure.",2135000,2020-03-31,8555-421-266,"June 9, 2016",326
rcmp,viclas,Violent Crime Linkage Analysis System,Violent Crime Linkaqe Analysis System (ViCLAS) Program : Uparade system software.,1400000,,8555-421-2460,"May 1, 2019",426
rcmp,weblogic,Weblogic Integration Technology Replacement,Webloqic Integration Technology Replacement: Uoarade system hardware and software.,4000000,2019-10-27,8555-421-2460,"May 1, 2019",427
rcmp,,WideAwake Social Media Analytical Tool,This project will facilitate the searching and monitoring of social media sites. The project is currently on hold while the Privacy Impact Assessment (PIA) is being completed in consultation with the Office of the Privacy Commissioner.,3700000,,8530-441-13-505,"April 25, 2022",415
ssc,aacs,Administrative Access Controls Services,"Authentication, Account Administration and Compliance - PRJ-003243
 The project's aim is central monitoring, reporting, management, tracking and auditing of privileged administrative accounts used in SSC.",23690000,2018-03-31,8555-421-266,"June 9, 2016",371
ssc,aacs,Administrative Access Controls Services,"Administrative Access Controls Services - PRJ-003243
This project standardizes administrative account management and ensures only those with administrative privileges are provided with the appropriate level of privileges.",14012000,2019-07-19,8555-421-2460,"May 1, 2019",10
ssc,apw,Application Whitelisting,"Application Whitelisting - PRJ-003246 (Project is in inititation mode)
 Application Whitelisting technology controls which applications can be installed and executed on IT equipment. Explicitly identifying which applications are authorized, and denying all others by default, reduces the risk of servers and other Enterprise Data Centres infrastructure becoming infected with software based malware for which antivirus protection may not be as effective at detecting and preventing infection.",8338593,2018-03-31,8555-421-266,"June 9, 2016",373
ssc,canada-usa-ipt,Canada-USA IP Transport,"Canada-USA IP Transport - PRJ-002993
This project will support the infrastructure for interconnecting Canada and United States Department of National Defense/Department of Defense locations.",5910043,2019-12-02,8555-421-2460,"May 1, 2019",26
ssc,canarie,CANARIE Network Monitoring,"Consolidation of CANARIE Network and Additional Sensoring/Monitoring - PRJ-002971
 The project implements a Government of Canada Enterprise Network Secure Perimeter and consolidates government connectivity to a limited number of government externally facing network hubs - re-routing existing government network connections through the consolidated hubs.",32700000,2018-03-31,8555-421-266,"June 9, 2016",358
ssc,canarie,CANARIE Network Monitoring,"CANARIE- PRJ-002971
The aim of this project is to implement a Government of Canada (GC) Science Network with integrated Enterprise Network Secure Perimeter, followed by consolidation of GC connectivity to Canadian network for the Advancement of Research, Industry and Education (CANARlE is a non-profit company).",31626469,2019-12-31,8555-421-2460,"May 1, 2019",9
ssc,cloud-arch,Cloud Architecture,"Cloud Architecture - PRJ-003800
The Managed Infrastructure as a service initiative seeks to address the significant backlog in providing server and storage infrastructure to support partner projects in a timely and agile manner to meet partner development timelines. This proposal will allow for the streamlining of the design, acquisition, deployment and operation of standard Windows and Linux Virtual machines and their associated integration to SSC and partner lead projects. The addition of design and integration services at the front end of a project engagem_ent, as well as added operational resources that form a managed service will provide SSC with the required agility and velocity to address this backlog.",18000000,,8555-421-2460,"May 1, 2019",46
ssc,cmp,Cloud Management Platform,"Cloud Management Platform (CMP) - PRJ-003768
The CMPs are integrated products that provide for the management of public, private and hybrid cloud environments. The main objective of the CMP project is to implement the Cloud based Data Centre Enabling Services to provide partner-facing services. Collectively they will enable the GC information management/ IT components to provide services to Canadians and Canadian businesses.",29503914,2021-03-31,8555-421-2460,"May 1, 2019",51
ssc,soc-facility,Cyber Security Strategy Security Operations Centre (SOC) Facility Construction,"Cyber Security Strategy - Security Operations Centre (SOC) Facility Construction - PRJ-001535
 The project is to construct the SSC SOC facility in support of the Cyber and IT Security Transformation Plan and aligns with Canada's Cyber Security Strategy to secure government systems.",8719000,2018-03-31,8555-421-266,"June 9, 2016",359
ssc,wlm,Data Centre Consolidation Legacy Data Centre Closures,"Data Centre Consolidation Legacy Data Centre Closures Fiscal Year 2015-2020 - PRJ-002999
 The purpose of this project is to close out Legacy Data Centres, and decommission where possible.",100000000,2020-03-31,8555-421-266,"June 9, 2016",375
ssc,dbaas,Database as a Service,"Data Base as a Service - PRJ-003779
This project will establish an SSC catalogued Database as an optional service for partners, through exploration of GC horizontal opportunities.",1425000,,8555-421-2460,"May 1, 2019",31
ssc,dcp1,Digital Communications Phase 1,"Digital Communications Phase 1 - PRJ-003424
The Digital Communications Program will deliver innovative, cost-effective support to the GC using new and emerging technological advances to support an interactive and collaborative workplace, improving the capabilities of SSC and its partner organizations as they serve Canadian citizens and businesses.",20663221,2020-12-15,8555-421-2460,"May 1, 2019",27
ssc,ads,Directory Services Synchronization,"Directory Services Synchronization - PRJ-002934
 The project is a foundational element for end-state data-centre workload migration and also many other services to enable delivery. Active Directory synchronization will be a core contribution. SSC Directory Services Synchronization centralizes partner departments and agencies repository data within the SSC enterprise data centre infrastructure, authenticates partner departments and agencies into the SSC enterprise data centre, and authenticates other SSC services in the SSC enterprise data centre. Partner departments and agencies maintain control of their own validation authority to enable and disable users into their respective repositories and the SSC Directory Services centralized repository is maintained up to date through a synchronization mechanism.",3607000,2017-12-31,8555-421-266,"June 9, 2016",356
ssc,edc-borden-2,EDC Borden Expansion IT Establishment Phase 2,"EDC Borden Expansion IT Establishment 2 - PRJ-003032
The main objective of the EDC Borden Expansion IT Establishment project is to implement the Data Centre Enabling Services to provide partner-facing services. Collectively they will enable the GC IT components to provide services to Canadians and Canadian businesses. This project will implement initial compute, storage, network, and security footprint in the newly established Borden EDC.",59572512,2021-03-31,8555-421-2460,"May 1, 2019",52
ssc,edc-montreal-2,EDC Montreal Facility Establishment,"EDC Montreal Facility Establishment- PRJ-001940
This project will consist of two main phases: The first phase will include the planning and procurement activities and the second will concentrate on any retrofit activities required (i.e., power, ventilation, cabling, security).",1265885,2019-09-30,8555-421-2460,"May 1, 2019",29
ssc,edc-montreal-1,EDC Montreal IT Establishment,"EDC Montreal IT Establishment - PRJ-003379
This project will implement initial compute, storage, network, and security footprint in the new Enterprise Data Centre Montreal, Additionally this project will implement infrastructure to streamline preparations for the Dorval Data Centre migration project.",57294919,2020-06-08,8555-421-2460,"May 1, 2019",28
ssc,epp,Electronic Procurement and Payment,"Electronic Procurement and Payment - PRJ-001560
 The project aims to plan, build, host and operate a commercial procurement and payment solution for SSC.",11413131,2016-08-31,8555-421-266,"June 9, 2016",361
ssc,eti,Email Transformation Initiative,"Email Transformation Initiative - PRJ-000699
 The project will replace existing Shared Services Canada (SSC) and its partners' email systems with a consolidated email solution. SSC will also provide this email service on an optional basis to other Government
 of Canada organizations.",76513758,2018-06-24,8555-421-266,"June 9, 2016",352
ssc,evas,"Endpoint Visibility, Awareness and Security","Endpoint Visibility, Awareness and Security (EVAS) - PRJ-004067
The EVAS project will provide enterprise-wide visibility of Internet-connected endpoint devices on GC networks.This will result in the enterprise Vulnerability Management Services (VMS) that will enable the GC to quickly and systematically identify IT vulnerabilities and prioritize the remediation of known vulnerabilities to reduce IT system and infrastructure risks. VMS will provide the GC with the ability to provide integrated and automated vulnerability detection and remediation across the enterprise.",150725000,2024-09-30,8555-421-2460,"May 1, 2019",24
ssc,edc-borden-1,Enterprise Data Centre Borden Phase 1,"Data Centre Consolidation - Enterprise Data Centre Borden Facility Expansion Project- PRJ-001933 The project will provide additional power and data centre capacity by fall 2017. The facility enhancements will be constructed in a modular design providing maximum flexibility to SSC for future upgrades. Successful completion of this project will see the facility in a ""ready for use"" (RFU) status. To attain RFU status, the project will include a network component, a security component and an infrastructure component.",24403820,2018-03-31,8555-421-266,"June 9, 2016",354
ssc,edc-borden-1,Enterprise Data Centre Borden Phase 1,"Enterprise Data Centre (EDC) Borden Facility Expansion - PRJ-001933
This project will provide additional power and data hall capacity. The facility enhancements will be achieved through a Public Private Partnership (P3) and will be constructed in a modular design providing maximum flexibility to SSC for future upgrades.",31671636,2019-09-30,8555-421-2460,"May 1, 2019",16
ssc,itsm,Enterprise IT Service Management Project,"Information Technology Service Management (ITSM) Roadmap Implementation - PRJ-003108
 SSC Service Management Program has identified key initiatives (in 2016 Government of Canada IT Infrastructure Plan) aimed at fundamentally transforming SSC's ITSM capabilities, and is aligned to SSC's Service Management Strategy.
 This project is about the following three focus areas:
 1) Delivering an enterprise tool through the implementation of an ITSM Managed Service contract.
 2) Accelerating the evolution of existing and development of new ITIL-based processes through the award and implementation of the ITSM Process Maturity solution contract.
 3) Driving enterprise adoption of new tools and processes through a comprehensive change management program, also through the ITSM Process Maturity solution.",26900000,,8555-421-266,"June 9, 2016",370
ssc,itsm,Enterprise IT Service Management Project,"Enterprise IT Service Management (ITSM) Tool Project- PRJ-003108
The Enterprise ITSM Tool Project is a multi-year project during which a vendor will provide SSC with an on premise, fully provisioned ITSM solution in SSC's data centre.",30359147,2021-09-30,8555-421-2460,"May 1, 2019",18
ssc,emdm-1,Enterprise Mobile Device Management,"Enterprise Mobile Device Management (EMDM) - PRJ-003338
The goal of the EMDM project is to provide a mobile device management service to SSC's partner community that will support secure Android and iOS devices to assure service continuity as well as continued support for the BlackBerry 10 devices.",17602341,2019-12-31,8555-421-2460,"May 1, 2019",30
ssc,emdm-2,Enterprise Mobile Device Management Evolution,"EMDM Evolution - PRJ-005977
This project will examine the next evolution of the EMDM service including examining alternative options to deliver a modern client-facing full feature mobility management capability for the GC.",9000000,2021-03-31,8555-421-2460,"May 1, 2019",54
ssc,eps,Enterprise Perimeter Security,"Enterprise Perimeter Security - PRJ-003247 (Previously in initiation - now active)
 SSC will augment the security of the Government of Canada Internet Perimeter to establish uniform and systematic protection. Fulfilment of this objective will allow for timely and consistent monitoring, detection, and implementation of mitigation measures and will address issues of different departments having differing levels of protection.",23168425,2021-03-31,8555-421-266,"June 9, 2016",367
ssc,eps,Enterprise Perimeter Security,"Enterprise Perimeter Security (EPS) - PRJ-003247
The objective of the EPS Project is to increase the visibility of cyber threats targeting GC networks in order to reduce the potential for compromising information and infrastructure assets of SSC and its partner departments and agencies.",21643272,2020-03-31,8555-421-2460,"May 1, 2019",11
ssc,evcm,Enterprise Vulnerability and Compliance Management,"Enterprise Vulnerability Management (VM) and Compliance - PRJ-003248 (Previously in initiation - now active)
 Enterprise Vulnerability Management is a proactive service that allows for systematic identification, classification/prioritization and mitigation of vulnerabilities in IT systems on a continuous basis. Scanning all aspects of Government of Canada IT infrastructure allows for the early and systematic detection of vulnerabilities.This project will also provide a compliance capability to assure resolution and mitigation of at risk systems and applications identified by VM scans and follow up on recommendations.",29446711,2021-03-31,8555-421-266,"June 9, 2016",368
ssc,evcm,Enterprise Vulnerability and Compliance Management,"Enterprise Vulnerability and Compliance Management - PRJ-003248
Enterprise Vulnerability Management (VM) is a proactive service that allows for systematic identification, classification, prioritization and mitigation of vulnerabilities in IT systems on a continuous basis. Scanning all aspects of GC IT infrastructure allows for the early and systematic detection of vulnerabilities.",21439766,2020-03-31,8555-421-2460,"May 1, 2019",12
ssc,gc-cluster,GC Cluster,"GC Cluster - PRJ-003781
This project will establish common infrastructure for partner departments (business and technology clusters) through exploration of GC horizontal opportunities.",6205000,,8555-421-2460,"May 1, 2019",32
ssc,icas,GC Internal Credential Authentication Service,"Government of Canada Internal Credential and Authentication Service - PRJ-002915
 The project will implement a new Internal Credential and Authentication Service that will provide standardized and centrally managed Government of Canada credentials and authentication mechanisms to support government employees, system administrators and enterprise applications.",5710000,2018-03-31,8555-421-266,"June 9, 2016",355
ssc,icas,GC Internal Credential Authentication Service,"GC Internal Centralized Authentication Service (ICAS)- PRJ-002915
A new GC ICAS will be implemented to provide standardized and centrally managed GC credentials and authentication mechanisms to support GC employees, system administrators and Enterprise applications.",5544999,2020-03-31,8555-421-2460,"May 1, 2019",13
ssc,gcsi,Government of Canada Secret Infrastructure Expansion,"GC Secret Infrastructure (GCSI) Expansion - PRJ-004069
The GCSI project is made up of three components:
GCSI Expansion will consolidate and rationalize the majority of the existing 31 secret infrastructures currently supported by SSC so that they may be operated more securely and cost effectively.
GCSI High Availability will provide the addition of the high availability and disaster recovery capabilities that are considered an operational necessity to support the availability requirements for GCSI. This is critical for many of the services that are being delivered or planned for the GCSI, including E-Cabinet in support of digitizing Cabinet business.",93881406,2024-03-31,8555-421-2460,"May 1, 2019",23
ssc,wifi-pip,Government of Canada Wi-Fi Interim Partner Implementation Project,"Government of Canada Wi-Fi Interim Partner Implementation Project - PRJ-001548
 The project aim is to plan and implement Wi-Fi services for approved partner organizations on an interim basis until the Wi-Fi end-state solution is available.",23123353,2017-03-31,8555-421-266,"June 9, 2016",360
